날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-04-14,278,9.7,2.8,17.5
2021-04-15,278,8.7,-0.9,18.6
2021-04-16,278,11.9,2.4,20
2021-04-17,278,10.8,4.3,18.8
2021-04-18,278,9.4,1.3,17.2
2021-04-19,278,12.1,-0.1,23.4
2021-04-20,278,15,3,27
2021-04-21,278,18,6.7,29.6
2021-04-22,278,19.6,12.2,28.9
2021-04-23,278,15.4,10.6,19.2
2021-04-24,278,16.1,9.4,24.7
2021-04-25,278,14.3,6.2,22.3
2021-04-26,278,11.9,1.5,21.7
2021-04-27,278,14.2,4.8,23
2021-04-28,278,15.8,9.4,22.4
2021-04-29,278,15.2,9.9,23.6
2021-04-30,278,15.3,10.6,21
2021-05-01,278,10.5,7.2,13.3
2021-05-02,278,11.3,5.6,19.8
2021-05-03,278,13.4,2.5,23.9
2021-05-04,278,15.3,7.5,21.3
2021-05-05,278,16.1,6.5,21.8
2021-05-06,278,13.3,1.6,23.4
2021-05-07,278,14.2,5.2,24.8
2021-05-08,278,16,3.4,26
2021-05-09,278,15.5,6.8,23.6
2021-05-10,278,10.1,5.5,12
2021-05-11,278,13.7,9.1,20.2
2021-05-12,278,16.1,7.3,24.8
2021-05-13,278,18.8,7.9,29.7
2021-05-14,278,20.8,11.4,30.7
2021-05-15,278,19.3,15.9,22.4
2021-05-16,278,20.4,15.9,23.6
2021-05-17,278,15.5,14.5,16.8
2021-05-18,278,16.9,13,23
2021-05-19,278,19.5,12.5,28.8
2021-05-20,278,15.5,14.2,18.1
2021-05-21,278,15.4,14.2,17.4
2021-05-22,278,18.3,11,26.9
2021-05-23,278,20,11.4,28.9
2021-05-24,278,20.2,12.7,26.3
2021-05-25,278,14,7.7,22.7
2021-05-26,278,15.3,6.5,23.3
2021-05-27,278,16,10.9,23
2021-05-28,278,14.6,7.6,26.2
2021-05-29,278,17,9.9,25.8
2021-05-30,278,18.6,8.2,27.8
2021-05-31,278,19.1,14.6,25.1
2021-06-01,278,20.4,12.6,27.9
2021-06-02,278,22.1,14.9,30.8
2021-06-03,278,17.9,13.6,20.3
2021-06-04,278,18.7,12.5,25.8
2021-06-05,278,19.4,8.9,29.5
2021-06-06,278,20.8,14.2,28.5
2021-06-07,278,21.6,15,29.1
2021-06-08,278,23.8,16.7,32
2021-06-09,278,24.1,16.7,32.4
2021-06-10,278,23.2,16,30.5
2021-06-11,278,21.8,19.3,26.7
2021-06-12,278,23.9,18.4,30.2
2021-06-13,278,23.6,17.6,31.5
2021-06-14,278,22.9,18.8,28.5
2021-06-15,278,20.9,18,23.9
2021-06-16,278,20.6,18.1,24.5
2021-06-17,278,19.7,17.9,22.7
2021-06-18,278,20.6,17.6,25.6
2021-06-19,278,21.7,16.4,29.4
2021-06-20,278,22.6,14.5,32.1
2021-06-21,278,22.5,14.5,30.8
2021-06-22,278,20.3,15,25.7
2021-06-23,278,19.4,15.5,23.6
2021-06-24,278,21.6,16.9,28.1
2021-06-25,278,23,15.9,31
2021-06-26,278,22.5,19.5,27.6
2021-06-27,278,22.6,17.5,28.7
2021-06-28,278,21.7,17.8,28.5
2021-06-29,278,23.7,16.6,30.3
2021-06-30,278,23.1,19.8,28.7
2021-07-01,278,24,17.6,32.7
2021-07-02,278,23,16.5,30.3
2021-07-03,278,21.4,17.7,25.4
2021-07-04,278,26,20.8,32
2021-07-05,278,22.6,19.9,26
2021-07-06,278,23,20.9,26.2
2021-07-07,278,24.5,22.2,27.4
2021-07-08,278,24.5,21.4,28.6
2021-07-09,278,24.5,21.4,29.9
2021-07-10,278,24.4,21,32.1
2021-07-11,278,24.7,20.5,31.8
2021-07-12,278,26.3,20.4,33.7
2021-07-13,278,27.6,22.2,34.1
2021-07-14,278,28,22.4,34.6
2021-07-15,278,25.3,22.1,33.9
2021-07-16,278,26.2,21.6,33.3
2021-07-17,278,25.7,21.9,31
2021-07-18,278,26.3,20.8,32.6
2021-07-19,278,26.4,22.3,31.3
2021-07-20,278,27.2,22.6,34.3
2021-07-21,278,26.3,20.6,34.1
2021-07-22,278,26.3,20.1,34
2021-07-23,278,26.8,20.6,34.9
2021-07-24,278,27.2,21.6,34.5
2021-07-25,278,26.3,20.4,32.6
2021-07-26,278,27.1,20.2,34.8
2021-07-27,278,26.9,19.8,35.4
2021-07-28,278,26.6,20.7,34.9
2021-07-29,278,27.4,20.9,35.3
2021-07-30,278,28.4,22.2,35.7
2021-07-31,278,28.8,22.2,36.5
2021-08-01,278,26.9,24.3,34.2
2021-08-02,278,26.8,24.1,32.9
2021-08-03,278,27.5,23.5,33.1
2021-08-04,278,28.6,23.2,35.2
2021-08-05,278,29.5,23.4,36.3
2021-08-06,278,28.9,23.5,37
2021-08-07,278,27.7,22,35.9
2021-08-08,278,25.2,22.7,30.3
2021-08-09,278,26,21.8,32.5
2021-08-10,278,24.1,21.6,28.3
2021-08-11,278,25.6,22.1,31.8
2021-08-12,278,25,22,32.7
2021-08-13,278,24.6,20.8,30.3
2021-08-14,278,22.6,19.6,27.6
2021-08-15,278,22.7,18,28.4
2021-08-16,278,23.5,19.5,28.8
2021-08-17,278,23.8,19.5,29.6
2021-08-18,278,22.4,19.4,27.3
2021-08-19,278,22.3,19,26.7
2021-08-20,278,23.8,19.7,30.3
2021-08-21,278,22.4,20.3,25.4
2021-08-22,278,24.1,20.4,30
2021-08-23,278,22.2,21,24.3
2021-08-24,278,23.5,21,27.9
2021-08-25,278,23.7,21.8,26.5
2021-08-26,278,24.4,20.3,30.7
2021-08-27,278,21.8,19.9,24.9
2021-08-28,278,23.5,20,29.9
2021-08-29,278,21.5,19.8,23.6
2021-08-30,278,22.5,19.7,27.3
2021-08-31,278,22,19.9,25.7
2021-09-01,278,20.7,19.8,22.2
2021-09-02,278,21.3,18.8,24.2
2021-09-03,278,20.8,16.8,25.9
2021-09-04,278,20.3,15.1,27.7
2021-09-05,278,20.2,14.6,26.3
2021-09-06,278,20.9,17.7,25.2
2021-09-07,278,21,18.6,23.1
2021-09-08,278,22.2,17.1,28.1
2021-09-09,278,21.3,15.9,28.4
2021-09-10,278,21.6,18.6,27.2
2021-09-11,278,21.6,17.1,30
2021-09-12,278,22.1,15,29.9
2021-09-13,278,21.1,16.9,27.2
2021-09-14,278,20.1,16.2,24.4
2021-09-15,278,20.4,14.7,27.7
2021-09-16,278,20.4,13.5,26.6
2021-09-17,278,19.1,17.4,21.5
2021-09-18,278,19.6,14.9,26.7
2021-09-19,278,19.8,14.8,27.6
2021-09-20,278,20.4,14,27.5
2021-09-21,278,20.7,17.8,24.1
2021-09-22,278,21.4,16.1,28.2
2021-09-23,278,19.1,12.6,25.8
2021-09-24,278,18.5,13.1,25.2
2021-09-25,278,18.6,14.2,24
2021-09-26,278,19.2,15.2,25.5
2021-09-27,278,20.1,15.3,25.4
2021-09-28,278,20.5,16.6,25.8
2021-09-29,278,21.5,19.2,27
2021-09-30,278,21.3,15.5,28.5
2021-10-01,278,18.6,13.7,27.2
2021-10-02,278,19.7,15,27.5
2021-10-03,278,19.4,12.4,30.2
2021-10-04,278,21.1,12.8,29.7
2021-10-05,278,21,16.2,29.3
2021-10-06,278,20,15.4,23.6
2021-10-07,278,21.1,16.1,26.5
2021-10-08,278,20.6,18.3,24.2
2021-10-09,278,21.6,18.3,27.1
2021-10-10,278,22.3,16.9,29.5
2021-10-11,278,16.1,14.1,23
2021-10-12,278,15.5,14.5,17.2
2021-10-13,278,17,14.2,21.8
2021-10-14,278,16.8,12.4,24.9
2021-10-15,278,17.6,13.7,22.3
2021-10-16,278,13.3,6.7,17.4
2021-10-17,278,5.2,-0.4,13.6
2021-10-18,278,6.4,-1.1,16.7
2021-10-19,278,8.8,3.7,17.2
2021-10-20,278,7.4,3.1,16.2
2021-10-21,278,7.8,1.2,18.3
2021-10-22,278,8.9,4.4,17.6
2021-10-23,278,7.8,3.3,18
2021-10-24,278,7.7,0.9,18.6
2021-10-25,278,8.4,1.2,18.9
2021-10-26,278,8.4,1,18.8
2021-10-27,278,10.4,3.8,20.7
2021-10-28,278,10,0.7,20.9
2021-10-29,278,9.9,2.9,19.4
2021-10-30,278,9.4,4.3,17
2021-10-31,278,10,4.1,19.6
